Watercolor
a bronze statue
a LEGO set
impressionist painting
a book cover
an 80s movie poster
a decorative mug
a decorative rug
a medieval tapestry
a stained glass window
Surrealism
Pointillism
Renaissance
Street Art/Graffiti
Cyberpunk
Photorealism
Steampunk
Pencil Sketch
Pixar
1930s pulp adventure
a photo
